2021-10-10 18:43:46,Tgru,Tpow
2021-11-13 23:46:52,21.8,34.7
2021-11-13 23:47:40,22.0,34.8
2021-11-13 23:48:29,22.2,34.8
2021-11-13 23:49:17,22.4,34.8
2021-11-13 23:50:05,22.6,34.8
2021-11-13 23:50:51,22.6,34.8
2021-11-13 23:50:53,22.8,34.8
2021-11-13 23:51:41,23.0,34.9
2021-11-13 23:52:29,23.1,35.0
2021-11-13 23:53:17,23.3,35.1
2021-11-13 23:54:05,23.5,35.3
2021-11-13 23:54:30,23.5,35.3
2021-11-13 23:54:53,23.5,35.3
2021-11-13 23:55:41,23.7,35.5
2021-11-13 23:56:29,23.8,35.6
2021-11-13 23:57:17,23.8,35.7
2021-11-13 23:58:05,23.9,35.8
2021-11-13 23:58:53,24.0,35.8
2021-11-13 23:59:40,24.1,35.9
2021-11-14 00:00:28,24.1,35.9
2021-11-14 00:01:16,24.2,35.9
2021-11-14 00:02:04,24.1,35.8
2021-11-14 00:02:52,24.1,35.8
2021-11-14 00:03:40,24.1,35.8
2021-11-14 00:04:29,24.2,35.7
2021-11-14 00:05:17,24.2,35.6
2021-11-14 00:06:05,24.3,35.6
2021-11-14 00:06:53,24.3,35.5
2021-11-14 00:07:41,24.3,35.5
2021-11-14 00:08:29,24.3,35.5
2021-11-14 00:09:17,24.3,35.6
2021-11-14 00:10:05,24.3,35.6
2021-11-14 00:10:53,24.3,35.6
2021-11-14 00:11:41,24.3,35.7
2021-11-14 00:12:29,24.3,35.8
2021-11-14 00:13:17,24.2,35.8
2021-11-14 00:14:05,24.2,35.9
2021-11-14 00:14:52,24.2,35.9
2021-11-14 00:15:40,24.2,36.0
2021-11-14 00:16:28,24.1,36.0
2021-11-14 00:17:16,24.1,36.0
2021-11-14 00:18:04,24.1,35.9
2021-11-14 00:18:52,24.0,35.9
2021-11-14 00:19:40,24.0,35.8
2021-11-14 00:20:28,24.0,35.7
2021-11-14 00:21:17,24.0,35.6
2021-11-14 00:22:05,24.0,35.5
2021-11-14 00:22:53,23.9,35.4
2021-11-14 00:23:41,23.9,35.3
2021-11-14 00:24:29,23.8,35.2
2021-11-14 00:24:52,23.8,35.2
2021-11-14 00:25:17,23.7,35.2
2021-11-14 00:26:05,23.7,35.1
2021-11-14 00:26:53,23.6,35.1
2021-11-14 00:27:41,23.6,35.1
2021-11-14 00:28:14,23.6,35.1
2021-11-14 00:28:29,23.6,35.3
2021-11-14 00:29:17,23.5,35.3
2021-11-14 00:30:04,23.5,35.4
2021-11-14 00:30:52,23.5,35.5
2021-11-14 00:31:40,23.5,35.5
2021-11-14 00:32:28,23.5,35.5
2021-11-14 00:33:16,23.4,35.6
2021-11-14 00:34:04,23.4,35.5
2021-11-14 00:34:52,23.3,35.5
2021-11-14 00:35:40,23.3,35.4
2021-11-14 00:36:28,23.3,35.3
2021-11-14 00:37:17,23.3,35.3
2021-11-14 00:38:05,23.3,35.2
2021-11-14 00:38:53,23.2,35.1
2021-11-14 00:39:41,23.2,35.0
2021-11-14 00:40:29,23.2,35.0
2021-11-14 00:41:06,23.2,35.0
2021-11-14 00:41:17,23.1,34.9
2021-11-14 00:41:59,23.1,34.9
2021-11-14 00:42:05,23.1,34.8
2021-11-14 00:42:53,23.1,34.8
2021-11-14 00:43:41,23.1,34.8
2021-11-14 00:43:50,23.1,34.8
2021-11-14 00:44:29,23.1,34.8
2021-11-14 00:45:16,23.1,34.8
2021-11-14 00:46:04,23.1,35.0
2021-11-14 00:46:26,23.1,35.0
2021-11-14 00:46:52,23.1,35.0
2021-11-14 00:47:40,23.0,35.1
2021-11-14 00:48:28,23.0,35.1
2021-11-14 00:49:16,23.0,35.3
2021-11-14 00:50:04,23.0,35.3
2021-11-14 00:50:52,23.0,35.3
2021-11-14 00:51:40,23.0,35.3
2021-11-14 00:52:28,23.1,35.3
2021-11-14 00:53:17,23.1,35.3
2021-11-14 00:54:05,23.1,35.3
2021-11-14 00:54:53,23.1,35.2
2021-11-14 00:55:41,23.1,35.1
2021-11-14 00:56:29,23.1,35.1
2021-11-14 00:57:17,23.1,35.1
2021-11-14 00:58:05,23.1,35.0
2021-11-14 00:58:53,23.1,35.0
2021-11-14 00:59:40,23.1,35.0
2021-11-14 01:00:28,23.2,35.0
2021-11-14 01:01:16,23.2,35.0
2021-11-14 01:02:04,23.1,35.0
2021-11-14 01:02:52,23.1,35.1
2021-11-14 01:03:13,23.1,35.1
2021-11-14 01:03:40,23.1,35.1
2021-11-14 01:04:28,23.1,35.2
2021-11-14 01:05:16,23.1,35.3
2021-11-14 01:06:04,23.1,35.4
2021-11-14 01:06:52,23.1,35.5
2021-11-14 01:07:40,23.1,35.5
2021-11-14 01:08:28,23.1,35.5
2021-11-14 01:09:17,23.1,35.5
2021-11-14 01:10:05,23.1,35.5
2021-11-14 01:10:53,23.1,35.4
2021-11-14 01:11:41,23.1,35.4
2021-11-14 01:12:29,23.1,35.3
2021-11-14 01:13:17,23.0,35.3
2021-11-14 01:14:05,23.0,35.2
2021-11-14 01:14:52,23.0,35.1
2021-11-14 01:15:40,23.0,35.1
2021-11-14 01:16:28,23.0,35.0
2021-11-14 01:17:16,23.0,35.0
2021-11-14 01:18:04,23.0,35.0
2021-11-14 01:18:52,23.0,34.9
2021-11-14 01:19:40,23.0,34.9
2021-11-14 01:20:28,23.0,34.9
2021-11-14 01:21:16,23.0,34.9
2021-11-14 01:22:04,23.0,35.0
2021-11-14 01:22:52,23.0,35.0
2021-11-14 01:23:40,23.0,35.1
2021-11-14 01:24:28,22.9,35.1
2021-11-14 01:25:17,22.9,35.1
2021-11-14 01:25:19,22.9,35.1
2021-11-14 01:26:05,22.9,35.2
2021-11-14 01:26:47,22.9,35.2
2021-11-14 01:26:53,22.9,35.2
2021-11-14 01:27:41,22.9,35.1
2021-11-14 01:28:29,22.9,35.1
2021-11-14 01:29:17,22.9,35.1
2021-11-14 01:29:29,22.9,35.1
2021-11-14 01:30:04,22.9,35.1
2021-11-14 01:30:52,22.8,35.0
2021-11-14 01:31:40,22.8,35.0
2021-11-14 01:32:28,22.8,34.9
2021-11-14 01:33:16,22.8,34.8
2021-11-14 01:34:04,22.8,34.8
2021-11-14 01:34:52,22.8,34.8
2021-11-14 01:35:40,22.8,34.7
2021-11-14 01:36:28,22.8,34.6
2021-11-14 01:37:16,22.8,34.7
2021-11-14 01:38:04,22.8,34.7
2021-11-14 01:38:52,22.8,34.7
2021-11-14 01:39:40,22.8,34.8
2021-11-14 01:40:25,22.8,34.8
2021-11-14 01:40:29,22.7,34.8
2021-11-14 01:41:17,22.7,34.9
2021-11-14 01:42:05,22.7,35.0
2021-11-14 01:42:53,22.6,35.0
2021-11-14 01:43:41,22.6,35.1
2021-11-14 01:44:28,22.6,35.1
2021-11-14 01:45:16,22.6,35.1
2021-11-14 01:46:04,22.6,35.0
2021-11-14 01:46:52,22.6,35.0
2021-11-14 01:47:40,22.6,35.0
2021-11-14 01:48:28,22.5,34.9
2021-11-14 01:49:16,22.5,34.8
2021-11-14 01:50:04,22.5,34.8
2021-11-14 01:50:52,22.5,34.7
2021-11-14 01:51:40,22.5,34.6
2021-11-14 01:52:28,22.5,34.6
2021-11-14 01:53:16,22.4,34.6
2021-11-14 01:54:04,22.4,34.6
2021-11-14 01:54:52,22.4,34.6
2021-11-14 01:55:40,22.4,34.6
2021-11-14 01:56:29,22.3,34.6
2021-11-14 01:57:17,22.3,34.8
2021-11-14 01:58:05,22.3,34.8
2021-11-14 01:58:53,22.3,34.9
2021-11-14 01:59:40,22.3,35.0
2021-11-14 02:00:28,22.3,35.0
2021-11-14 02:01:16,22.3,35.0
2021-11-14 02:02:04,22.3,35.0
2021-11-14 02:02:52,22.3,35.0
2021-11-14 02:03:40,22.3,35.0
2021-11-14 02:04:28,22.4,34.9
2021-11-14 02:05:12,22.4,34.9
2021-11-14 02:05:16,22.4,34.9
2021-11-14 02:06:04,22.4,34.8
2021-11-14 02:06:34,22.4,34.8
2021-11-14 02:06:52,22.4,34.7
2021-11-14 02:07:40,22.4,34.6
2021-11-14 02:08:28,22.4,34.6
2021-11-14 02:09:16,22.4,34.5
2021-11-14 02:10:04,22.4,34.5
2021-11-14 02:10:52,22.4,34.5
2021-11-14 02:11:40,22.4,34.5
2021-11-14 02:12:29,22.4,34.6
2021-11-14 02:13:17,22.5,34.6
2021-11-14 02:14:04,22.4,34.7
2021-11-14 02:14:52,22.5,34.8
2021-11-14 02:15:40,22.5,34.8
2021-11-14 02:16:28,22.5,35.0
2021-11-14 02:17:16,22.5,35.0
2021-11-14 02:18:04,22.5,35.0
2021-11-14 02:18:52,22.5,35.1
2021-11-14 02:19:40,22.5,35.1
2021-11-14 02:20:28,22.5,35.1
2021-11-14 02:21:16,22.5,35.0
